X * Y | elapsed time
518*518 | 300
519*519 | 400
520*520 | 300
521*521 | 500
522*522 | 400
523*523 | 400
524*524 | 400
525*525 | 400
526*526 | 500
527*527 | 400
528*528 | 400
529*529 | 400
530*530 | 400
531*531 | 700
532*532 | 400
533*533 | 500
534*534 | 400
535*535 | 400
536*536 | 400
537*537 | 400
538*538 | 500
539*539 | 500
540*540 | 400
541*541 | 500
542*542 | 500
543*543 | 500
544*544 | 500
545*545 | 400
546*546 | 400
547*547 | 400
548*548 | 400
549*549 | 400
550*550 | 500
551*551 | 500
552*552 | 400
553*553 | 400
554*554 | 400
555*555 | 500
556*556 | 500
557*557 | 400
558*558 | 400
559*559 | 400
560*560 | 400
561*561 | 400
562*562 | 500
563*563 | 300
564*564 | 400
565*565 | 300
566*566 | 400
567*567 | 400
568*568 | 300
569*569 | 500
570*570 | 300
571*571 | 400
572*572 | 400
573*573 | 500
574*574 | 400
575*575 | 400
576*576 | 500
577*577 | 400
578*578 | 300
579*579 | 400
580*580 | 400
581*581 | 400
582*582 | 500
583*583 | 400
584*584 | 400
585*585 | 500
586*586 | 400
587*587 | 400
588*588 | 400
589*589 | 400
590*590 | 400
591*591 | 500
592*592 | 400
593*593 | 400
594*594 | 400
595*595 | 400
596*596 | 400
597*597 | 400
598*598 | 500
599*599 | 400
600*600 | 400
601*601 | 300
602*602 | 300
603*603 | 400
604*604 | 400
605*605 | 400
606*606 | 400
607*607 | 300
608*608 | 400
609*609 | 400
610*610 | 400
611*611 | 400
612*612 | 300
613*613 | 400
614*614 | 300
615*615 | 400
616*616 | 400
617*617 | 300
618*618 | 400
619*619 | 400
620*620 | 500
621*621 | 400
622*622 | 500
623*623 | 500
624*624 | 400
625*625 | 600
626*626 | 400
627*627 | 400
628*628 | 400
629*629 | 300
630*630 | 400
631*631 | 400
632*632 | 400
633*633 | 300
634*634 | 300
635*635 | 400
636*636 | 400
637*637 | 400
638*638 | 400
639*639 | 400
640*640 | 400
641*641 | 400
642*642 | 300
643*643 | 400
644*644 | 400
645*645 | 300
646*646 | 400
647*647 | 400
648*648 | 400
649*649 | 400
650*650 | 500
651*651 | 400
652*652 | 500
653*653 | 500
654*654 | 400
655*655 | 400
656*656 | 400
657*657 | 400
658*658 | 400
659*659 | 400
660*660 | 300
661*661 | 300
662*662 | 300
663*663 | 400
664*664 | 400
665*665 | 400
666*666 | 300
667*667 | 500
668*668 | 400
669*669 | 400
670*670 | 400
671*671 | 400
672*672 | 400
673*673 | 400
674*674 | 500
675*675 | 400
676*676 | 500
677*677 | 300
678*678 | 400
679*679 | 400
680*680 | 400
681*681 | 300
682*682 | 300
683*683 | 300
684*684 | 300
685*685 | 300
686*686 | 300
687*687 | 300
688*688 | 400
689*689 | 400
690*690 | 300
691*691 | 400
692*692 | 400
693*693 | 400
694*694 | 400
695*695 | 300
696*696 | 300
697*697 | 300
698*698 | 1400
699*699 | 300
700*700 | 500
701*701 | 300
702*702 | 300
703*703 | 300
704*704 | 400
705*705 | 500
706*706 | 400
707*707 | 400
708*708 | 400
709*709 | 400
710*710 | 300
711*711 | 400
712*712 | 300
713*713 | 500
714*714 | 300
715*715 | 400
716*716 | 400
717*717 | 500
718*718 | 400
719*719 | 400
720*720 | 400
721*721 | 400
722*722 | 400
723*723 | 300
724*724 | 400
725*725 | 400
726*726 | 400
727*727 | 300
728*728 | 400
729*729 | 400
730*730 | 400
731*731 | 300
732*732 | 400
733*733 | 400
734*734 | 300
735*735 | 400
736*736 | 500
737*737 | 500
738*738 | 500
739*739 | 400
740*740 | 500
741*741 | 400
742*742 | 500
743*743 | 500
744*744 | 400
745*745 | 400
746*746 | 400
747*747 | 400
748*748 | 400
749*749 | 400
750*750 | 300
751*751 | 400
752*752 | 400
753*753 | 400
754*754 | 300
755*755 | 400
756*756 | 400
757*757 | 400
758*758 | 400
759*759 | 400
760*760 | 400
761*761 | 500
762*762 | 400
763*763 | 300
764*764 | 400
765*765 | 400
766*766 | 400
767*767 | 400
768*768 | 400
769*769 | 500
770*770 | 400
771*771 | 400
772*772 | 400
773*773 | 400
774*774 | 400
775*775 | 400
776*776 | 400
777*777 | 500
778*778 | 400
779*779 | 400
780*780 | 400
781*781 | 400
782*782 | 500
783*783 | 500
784*784 | 400
785*785 | 400
786*786 | 500
787*787 | 400
788*788 | 400
789*789 | 300
790*790 | 400
791*791 | 300
792*792 | 500
793*793 | 400
794*794 | 500
795*795 | 400
796*796 | 400
797*797 | 300
798*798 | 400
799*799 | 400
800*800 | 400
801*801 | 400
802*802 | 400
803*803 | 500
804*804 | 400
805*805 | 400
806*806 | 400
807*807 | 500
808*808 | 500
809*809 | 400
810*810 | 300
811*811 | 300
812*812 | 300
813*813 | 400
814*814 | 400
815*815 | 400
816*816 | 400
817*817 | 400
818*818 | 300
819*819 | 400
820*820 | 500
821*821 | 400
822*822 | 400
823*823 | 500
824*824 | 400
825*825 | 400
826*826 | 300
827*827 | 400
828*828 | 400
829*829 | 400
830*830 | 300
831*831 | 400
832*832 | 400
833*833 | 400
834*834 | 300
835*835 | 300
836*836 | 400
837*837 | 300
838*838 | 400
839*839 | 300
840*840 | 300
841*841 | 400
842*842 | 300
843*843 | 300
844*844 | 400
845*845 | 400
846*846 | 400
847*847 | 400
848*848 | 300
849*849 | 400
850*850 | 300
851*851 | 400
852*852 | 300
853*853 | 300
854*854 | 300
855*855 | 300
856*856 | 400
857*857 | 400
858*858 | 400
859*859 | 300
860*860 | 400
861*861 | 300
862*862 | 400
863*863 | 300
864*864 | 400
865*865 | 400
866*866 | 400
867*867 | 1000
868*868 | 300
869*869 | 300
870*870 | 300
871*871 | 400
872*872 | 300
873*873 | 300
874*874 | 300
875*875 | 300
876*876 | 300
877*877 | 300
878*878 | 300
879*879 | 300
880*880 | 400
881*881 | 400
882*882 | 400
883*883 | 300
884*884 | 300
885*885 | 300
886*886 | 300
887*887 | 300
888*888 | 300
889*889 | 400
890*890 | 300
891*891 | 300
892*892 | 300
893*893 | 300
894*894 | 300
895*895 | 300
896*896 | 400
897*897 | 300
898*898 | 400
899*899 | 400
900*900 | 400
901*901 | 300
902*902 | 400
903*903 | 400
904*904 | 400
905*905 | 500
906*906 | 400
907*907 | 400
908*908 | 300
909*909 | 500
910*910 | 300
911*911 | 500
912*912 | 400
913*913 | 400
914*914 | 400
915*915 | 400
916*916 | 500
917*917 | 300
918*918 | 400
919*919 | 400
920*920 | 300
921*921 | 300
922*922 | 300
923*923 | 400
924*924 | 300
925*925 | 400
926*926 | 400
927*927 | 400
928*928 | 400
929*929 | 400
930*930 | 400
931*931 | 400
932*932 | 700
933*933 | 300
934*934 | 400
935*935 | 400
936*936 | 300
937*937 | 300
938*938 | 300
939*939 | 300
940*940 | 400
941*941 | 300
942*942 | 300
943*943 | 300
944*944 | 400
945*945 | 400
946*946 | 300
947*947 | 300
948*948 | 300
949*949 | 300
950*950 | 300
951*951 | 300
952*952 | 300
953*953 | 400
954*954 | 300
955*955 | 300
956*956 | 400
957*957 | 300
958*958 | 300
959*959 | 400
960*960 | 300
961*961 | 400
962*962 | 400
963*963 | 400
964*964 | 300
965*965 | 300
966*966 | 300
967*967 | 400
968*968 | 400
969*969 | 300
970*970 | 400
971*971 | 300
972*972 | 300
973*973 | 300
974*974 | 300
975*975 | 400
976*976 | 300
977*977 | 300
978*978 | 300
979*979 | 300
980*980 | 300
981*981 | 300
982*982 | 300
983*983 | 300
984*984 | 400
985*985 | 400
986*986 | 300
987*987 | 300
988*988 | 400
989*989 | 400
990*990 | 300
991*991 | 400
992*992 | 400
993*993 | 400
994*994 | 400
995*995 | 400
996*996 | 400
997*997 | 300
998*998 | 300
999*999 | 400
